# Exact binary vectors for the sourced Steane presentation; x,z are Pauli exponent strings.
object,label,x,z
check_row,g1,1111000,
l_basis,X1,1111000,0000000
l_basis,Z1,0000000,1111000
check_row,g2,1100110,
l_basis,X2,1100110,0000000
l_basis,Z2,0000000,1100110
check_row,g3,1010101,
l_basis,X3,1010101,0000000
l_basis,Z3,0000000,1010101
D,d0,0000000,
D,d1,0011110,
D,d2,0101101,
D,d3,0110011,
D,d4,1001011,
D,d5,1010101,
D,d6,1100110,
D,d7,1111000,
u_plus_D,coset0,0000111,
u_plus_D,coset1,0011001,
u_plus_D,coset2,0101010,
u_plus_D,coset3,0110100,
u_plus_D,coset4,1001100,
u_plus_D,coset5,1010010,
u_plus_D,coset6,1100001,
u_plus_D,coset7,1111111,
C,c0,0000000,
C,c1,0000111,
C,c2,0011001,
C,c3,0011110,
C,c4,0101010,
C,c5,0101101,
C,c6,0110011,
C,c7,0110100,
C,c8,1001011,
C,c9,1001100,
C,c10,1010010,
C,c11,1010101,
C,c12,1100001,
C,c13,1100110,
C,c14,1111000,
C,c15,1111111,
l_perp_basis,Xbar,0000111,0000000
l_perp_basis,Zbar,0000000,0000111
logical_class,I,0000000,0000000
logical_class,Xbar,0000111,0000000
logical_class,Zbar,0000000,0000111
logical_class,Ybar_label,0000111,0000111
